username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,
";2020-05-10 11:53;3;5;""Welcome back to Kenya the land of your ancestors full of honey and milk. Thanks Mike Sonko & othere who have participated/contributed towards their coming. Kudos to Kenyans on Twitter # KOT for making noise about their plight. East or west home is best. # NeglectedKenyansReturn"";;;# #;""1259406096151851008"";https://twitter.com/CharleeOddie1/status/1259406096151851008",,,,,,,,,
";2020-05-10 10:50;1;5;""# FreeMosesKuria The law is explicit on how you report a missing child", or a missing Person etc So," has Moses Kuria's wife reported the case of a missing husband in any Kenyan police station? Which one? Ama nyinyi mnamtafuta huku Twitter mkiwa akina nani?"";;;#;""1259390257918771206"";https://twitter.com/mwanawassa/status/1259390257918771206",,,,,,,
";2020-05-10 10:13;1;4;""We hit 100k followers on Twitter.We say a very big THANK YOU to each one of you for being party of our progress"," we appreciate you for making us grow bigger & better. To many more weeks & months & years of Engagement: Asanteni Sana Facebook verified page: https://www.facebook.com/kenyanreportnews/ …pic.twitter.com/mCW1YrvXbO"";;;;""1259381062133854208"";https://twitter.com/Kenyan_Report/status/1259381062133854208",,,,,,,,
";2020-05-10 09:28;0;4;""Pls RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII.https://play.google.com/store/apps/details?id=orion.big.deal …"";;;;""1259369640335155200"";https://twitter.com/OrionNewsGlobal/status/1259369640335155200",,,,,,,,
";2020-05-10 09:21;0;1;""Sasa nyinyi mko hapa Twitter mnajifanya mnaAdress Uhuru and he is not even on Twitter"," KENYANS! # FreeMosesKuria # flaqo"";;;# #;""1259367816421158914"";https://twitter.com/dval_kenya/status/1259367816421158914",,,,,,,,
";2020-05-10 09:05;2;8;""Someone explain to me like a 6 yr old where Kenyans get the energy to be active on 16 WhatsApp groups", Twitter, IG, Telegram, run a YouTube channel, make memes, day drink, work," run a side hustle and still find time to be in the next stranger's business who's getting trolled"";;;;""1259363842754306048"";https://twitter.com/tjirri/status/1259363842754306048",
";2020-05-10 06:49;0;0;""My week on Twitter : 1 Like. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=632d3e5aa6e7904c5c6c33c5 …pic.twitter.com/KTdmusVpW4"";;;;""1259329813413855233"";https://twitter.com/BenworthKimani/status/1259329813413855233",,,,,,,,,
";2020-05-10 05:11;0;0;""My week on Twitter : 23 Mentions", 72 Likes, 15 Retweets, 46.8K Retweet Reach," 22 Replies. See yours with https://sumall.com/performancetweet?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=80c275d1f879da47d1ac08ad …pic.twitter.com/fAiRi0jqmv"";;;;""1259305096086786051"";https://twitter.com/KenyanElder/status/1259305096086786051",,,,,
";2020-05-10 04:17;0;0;""It's a good thing you don't spend all day on Twitter politicizing public health."";;;;""1259291349901336576"";https://twitter.com/Kenyans4Pete/status/1259291349901336576",,,,,,,,,
";2020-05-10 02:52;1;1;""Bishop TD Jakes VS Kenyans On Twitter (KOT) https://youtu.be/ksFYQOLnv8g via @ YouTube"";;@;;""1259270032623837187"";https://twitter.com/Elee_Global/status/1259270032623837187",,,,,,,,,
";2020-05-10 00:48;0;0;""For clout obviously.People on twitter be tweeting anything for attention"," maybe she thought she will get support from the Louies but is clearly backfired"";;;;""1259238735872495617"";https://twitter.com/Kenyan_Lou/status/1259238735872495617",,,,,,,,
";2020-05-09 22:42;0;0;""Kenyans who are ready to say it without any fear"," the problem with many Kenyans are keyboard warriors nothing go beyond beyond twitter account. DON'T FORGET @ WaNduta8 & @ speakkam DP Ruto & Moses Kuria supporter is equals to team Tanga Tanga on twitter hahaha."";;@ @;;""1259207069187674118"";https://twitter.com/HakiNgo/status/1259207069187674118",,,,,,,,
";2020-05-09 22:20;10;26;""Hello # kenyansontwitter? Have realized Twitter is better than instagram. Here people socialize freely.Before tufike hapo nitasocialize na nani. Si mnifikishe thao tweeps @ brian_mogeni @ Salma_zeinab @ GeorgeOnsase @ RealOwinoPaul @ Crazy_Nairabian @ KE_Fridah @ CrazyNairobian"";;@ @ @ @ @ @ @;#;""1259201505690898434"";https://twitter.com/__jemmie/status/1259201505690898434",,,,,,,,,
";2020-05-09 18:55;12;52;""Kenyans",Nigerians,"Msanzi on Twitter have helped millions with depression by constantly putting smiles on our faces. Show some love"";;;;""1259150101429342212"";https://twitter.com/austinomondi__/status/1259150101429342212",,,,,,,
";2020-05-09 18:47;5;27;""Kenyan boys on Twitter. A gaggle of geese mentored by a brood of vipers", the former defending the latter’s right to bite them. You follow scandalous boys you shouldn’t trust to tell you the time in a room full of clocks," & berate those who try to warn you. Clap for yourselves."";;;;""1259147993875394562"";https://twitter.com/zionpearl/status/1259147993875394562",,,,,,,
";2020-05-09 16:05;0;4;""@ LarryMadowo Pls RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII. # KPLC Kenya Power Moses Kuriahttps://play.google.com/store/apps/details?id=orion.big.deal …"";;@;#;""1259107172937543680"";https://twitter.com/OrionNewsGlobal/status/1259107172937543680",,,,,,,,
";2020-05-09 15:26;0;0;""Why don't you work to popularize your party? Very few Kenyans are on Twitter. And you'll need legislative nos to govern to affect/influence policy. But you only on twirra to talk about other parties and their bosses"";;;;""1259097318818639874"";https://twitter.com/osanobill/status/1259097318818639874",,,,,,,,,
";2020-05-09 14:16;2;9;""I shudder to think about the sheer level of opprobrium that would've been unleashed on Twitter by Pres. Farmajo's supporters if non-AMISOM Kenyan military had shot down a plane that was carrying covid-19 aid for a small town in Somalia."";;;;""1259079776188477440"";https://twitter.com/Abdi_Omar_/status/1259079776188477440",,,,,,,,,
";2020-05-09 13:24;3;6;""I remember Joachim’s first Lagos marathon. We trolled him on Twitter that he was on Third Mainland when the Kenyan was already on a plane out of Nigeria. See him now. Labour > Favour. https://twitter.com/je_mc2/status/1259060791598350336 …"";;;;""1259066670393561089"";https://twitter.com/AO1379/status/1259066670393561089",,,,,,,,,
";2020-05-09 13:20;1;1;""Buying 100bob Unga for the Poor in order to get a good photo ya kukuja kusumbua nayo Kenyans on Twitter. This is not even Clout Chasing"," This is Devil Worship. # moseskuria # kenyapowerpic.twitter.com/dVjbXi7ruu"";;;# #;""1259065619804237825"";https://twitter.com/Prince_Oyen/status/1259065619804237825",,,,,,,,
";2020-05-09 12:20;0;2;""Pls RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII. # KPLC Kenya Power Moses Kuria https://play.google.com/store/apps/details?id=orion.big.deal …"";;;#;""1259050655953629185"";https://twitter.com/OrionNewsGlobal/status/1259050655953629185",,,,,,,,
";2020-05-09 11:59;0;0;""Wasee RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII. # KPLC Kenya Power Moses Kuria https://play.google.com/store/apps/details?id=orion.big.deal …"";;;#;""1259045414839422976"";https://twitter.com/OrionNewsGlobal/status/1259045414839422976",,,,,,,,
";2020-05-09 11:18;7;16;""So kenyans would rather come on twitter and troll Kenya power all morning with the remaining charge on their phones rather than save it for calls and messaging. pic.twitter.com/KJyWZxDDFq"";;;;""1259034889443332096"";https://twitter.com/MwangiMainMan/status/1259034889443332096",,,,,,,,,
";2020-05-09 10:31;0;0;""She's my new melusina on Twitter That Kenyan As beautiful as Da Vinci's Mona Lisa. She's the river goddess of Oji-river That wonder That cast her charms on my mind. She's the jewel in my Savannah The missing rib That complements my being."";;;;""1259023182675263489"";https://twitter.com/NetzaqX/status/1259023182675263489",,,,,,,,,
";2020-05-09 10:26;4;5;""Pls RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII. # KPLC Kenya Power Moses Kuria https://play.google.com/store/apps/details?id=orion.big.deal …"";;;#;""1259021852296597507"";https://twitter.com/OrionNewsGlobal/status/1259021852296597507",,,,,,,,
";2020-05-09 10:22;1;4;""KOT RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII. # KPLC Kenya Power Moses Kuria https://play.google.com/store/apps/details?id=orion.big.deal …"";;;#;""1259020860888961024"";https://twitter.com/OrionNewsGlobal/status/1259020860888961024",,,,,,,,
";2020-05-09 10:21;0;1;""Today on twitter u r the only Kenyan lady that makes sense. I am more than happy that at a time when men and women r lamenting about Kuria as if he were the kitoweo that crushed off the dining table you tell them the irrelevancy of the issue. Who cares? What's Kuria anyway? https://twitter.com/BosiboriKE/status/1259010560450052101 …"";;;;""1259020764998709249"";https://twitter.com/SurdharD/status/1259020764998709249",,,,,,,,,
";2020-05-09 10:15;0;2;""Please RT Our APP USERS could be on Your TL. Install BIGDEAL KENYA -A SELL N BUY MARKETPLACE FOR KENYANS. A twitter/Fb/IG like app for BIASHARA UZA NUNUA"," Buy n Sell...TAFUTIA JAMII. TEGEMEO LA JAMII. # KPLC Kenya Power Moses Kuria https://play.google.com/store/apps/details?id=orion.big.deal …"";;;#;""1259019235134787584"";https://twitter.com/OrionNewsGlobal/status/1259019235134787584",,,,,,,,
";2020-05-09 09:35;1;2;""When will all Kenyans who suffer the same fate put aside their tribes", self centeredness, jealousy, suspicion & come together as one to effect real change. Real change won't happen on Twitter," only cosmetic. Vitu vitachange kwa ground. Take the conversation to the ground."";;;;""1259009068657790976"";https://twitter.com/Patrick65564316/status/1259009068657790976",,,,,
";2020-05-09 09:32;1;0;""Ugandans", Tanzanians, Rwandans, and Burundians on Twitter, in what order do you list the countries in East Africa? Me, I'm a (possibly biased) Kenyan who says Kenya, Uganda, and Tanzania, then I remember Rwanda and Burundi," then I google whether South Sudan was added."";;;;""1259008266278969345"";https://twitter.com/DavidWanjiru/status/1259008266278969345"
";2020-05-09 09:31;0;1;""Maybe Moses Kuria is in SOMALIA seeking justice for Kenyans killed by Ethiopian troops. Continue making noise here on Twitter while # AlShabaab_Like Ethiopian troops and Failmaajo are massively killing your professionals. WhatsApp Kenya Power to White Househttps://twitter.com/FatumaFatma3/status/1259001851623682048?s=19 …"";;;#;""1259008076784504836"";https://twitter.com/FatumaFatma3/status/1259008076784504836",,,,,,,,,
";2020-05-09 07:51;0;1;""Kenya power....Are Kenyans on Twitter a bunch of noise makers... that make no sense at all? Whiners who offer no solutions? Petty idlers....! MP's"," Senators on Twitter instead of..."" On the floor of the house""....Pettiness is inborn in kenya."";;;;""1258982826453671940"";https://twitter.com/RiGitau/status/1258982826453671940",,,,,,,,
";2020-05-09 07:36;0;0;""No democracy on trial.... Party discipline must be maintained once a party has taken decision"," tgere are party organs to solve issues not Twitter and if that party isn't meeting your std then resign from it then kenyans we'll believe in your actions"";;;;""1258979020848476162"";https://twitter.com/augogodfrey/status/1258979020848476162",,,,,,,,
";2020-05-09 05:08;1;0;""Wait Was going to say something... But this is Twitter. Can't say what I am thinking... Like on http://Parler.com Barry Obama may pull his Kenyan race card if arrested for treason. Just saying Kinda puts panties in a twist..."";;;;""1258941895817994241"";https://twitter.com/romack_e/status/1258941895817994241",,,,,,,,,
";2020-05-09 00:48;0;1;""New on twitter"";;;;""1258876404747448327"";https://twitter.com/Kenyaniconoffi2/status/1258876404747448327",,,,,,,,,
";2020-05-09 00:32;0;0;""@ MutahiNgunyi is the father of intellectual wisdom on twitter"";;@;;""1258872506087362566"";https://twitter.com/Prof_Owiti/status/1258872506087362566",,,,,,,,,
";2020-05-09 00:27;0;0;""i can’t help but laugh at the way you guys are always on the hook session when it comes to intellectual conversations on twitter"";;;;""1258871113175781377"";https://twitter.com/Prof_Owiti/status/1258871113175781377",,,,,,,,,
";2020-05-08 23:56;0;0;""Kenyans on Twitter.. ReTweet"";;;;""1258863355403669504"";https://twitter.com/MercyPeterk/status/1258863355403669504",,,,,,,,,
";2020-05-08 23:11;0;0;""Absolutely.. And if one is not careful he or she might fall in the wrong side of Kenyan on Twitter (KOT)"";;;;""1258851964772913154"";https://twitter.com/jaredmomanyi488/status/1258851964772913154",,,,,,,,,
";2020-05-08 21:39;0;2;""Fuuuck!!Kumbe KOT means Kenyans on twitter!! I always thought ni kigroup kia mabully"";;;;""1258828878090514446"";https://twitter.com/kay_rhanx98/status/1258828878090514446",,,,,,,,,
";2020-05-08 21:25;78;651;""The clitoris has 8","000 nerve endings and still isn’t as sensitive as Kenyans On Twitter ( KOT)"";;;;""1258825451985920004"";https://twitter.com/maurinetheuri/status/1258825451985920004",,,,,,,,
";2020-05-08 16:47;0;3;""Some have been asking where Ababu is? He he ths is not time for politicking. Ababu", has been working and has been updating Kenyans more so on social media, his twitter account has been very active. Time for siasa will come. Ababu," endelea kuchapa kazi."";;;;""1258755353304535040"";https://twitter.com/Kaduki_Sir/status/1258755353304535040",,,,,,
";2020-05-08 16:11;0;0;""Dear kenyans on Twitter ","who has ever won a @ TECNOMobile254 phone... Since I joined Twitter they are always having promotions and giveaways yet I don't know a single guy who has ever won"";;@;;""1258746346267435011"";https://twitter.com/_lmuiruri/status/1258746346267435011",,,,,,,,
";2020-05-08 15:46;1;1;""So Ruto and his bloggers have made sure that Kenyans on twitter will NOT even know what is happening at the KDF headquarters", DOD ! This is very selfish and unwise, coz the ceremony has gone on anyway. # ChangeOfGuard Gen Mwathethe has retired," Gen Kibochi takes over ! # RutoCarespic.twitter.com/vZCKa5WhM9"";;;# #;""1258739987392184321"";https://twitter.com/2015ArthurM/status/1258739987392184321",,,,,,
";2020-05-08 14:30;0;0;""There is so much we've said on Twitter that we can't take back. That's why this app was better when we didn't know people outside here. No guilt"," no accountability"";;;;""1258720982879080448"";https://twitter.com/RegularKenyan/status/1258720982879080448",,,,,,,,
";2020-05-08 14:01;0;1;""Just got back boys ... Staying ready for when I get the twitter notification that the 21:43 has been beat and the white Kenyan builds a bonfire and throws the infamous t shirt on the top . It’s all about the championship rounds now # stayready # stayhumblepic.twitter.com/YfIuAPxZbD"";;;# #;""1258713623167471618"";https://twitter.com/Ormie1/status/1258713623167471618",,,,,,,,,
";2020-05-08 13:20;0;0;""Play the victim card everywhere"," Kenyans on Twitter don’t even make up 10% of population. Slander shouldn’t turn your against you fellow citizens"";;;;""1258703348116709382"";https://twitter.com/ziziaboo/status/1258703348116709382",,,,,,,,
";2020-05-08 12:34;0;1;""Exactly. He's never been on Twitter"";;;;""1258691774782025729"";https://twitter.com/AKenyanGirl/status/1258691774782025729",,,,,,,,,
";2020-05-08 12:07;0;1;""The same Kenyans who trolls you on twitter are the same ones sympathizing with you @ RobertAlai ...but sini life.. Mungu nifunze kunyamaza"";;@;;""1258684958341726209"";https://twitter.com/MorryneC/status/1258684958341726209",,,,,,,,,
";2020-05-08 11:23;0;0;""Is he tackling or talking about them? Race baiters looking for work on twitter? There isn't enough racism on the streets where you live? Do that."";;;;""1258673867687690241"";https://twitter.com/KenyanKisii/status/1258673867687690241",,,,,,,,,
";2020-05-08 10:08;0;2;""Kenyans on Twitter on said"";;;;""1258655113440362497"";https://twitter.com/TopsonTweets/status/1258655113440362497",,,,,,,,,
";2020-05-08 10:05;3;15;""Kenyans on Twitter once said?"";;;;""1258654285090390016"";https://twitter.com/MATIVOTRISH/status/1258654285090390016",,,,,,,,,
";2020-05-08 09:27;1;2;""Hahahaha you have made day bro @ KBonimtetezi is tainted he can't win any fight on twitter"";;@;;""1258644620487151616"";https://twitter.com/TonnyAgalo/status/1258644620487151616",,,,,,,,,
";2020-05-08 09:14;3;5;""Senator Ledama Ole Kina turns to God after his recent woes"," tells Kenyans on twitter to read with him a bible verse... https://tv47.co.ke/2020/05/08/senator-ole-kina-turns-to-god-as-odm-de-whips-him-trend-thats-now-synonymous-with-politicians/ …"";;;;""1258641390772379649"";https://twitter.com/tv47ke/status/1258641390772379649",,,,,,,,
";2020-05-08 04:33;1;3;""Everyday I see how Kenyans take in American content Taking stuff out of context & making it their own. We go about social activism like we live in a progressive country. Yet in reality we are still so backward. Only a small %age here on Twitter get these conversations."";;;;""1258570777806475269"";https://twitter.com/DreamgirlJill/status/1258570777806475269",,,,,,,,,
";2020-05-08 03:14;0;1;""@ BarackObama @ Twitter LOCK THE KENYAN UP! From Barky Soetoro Obama on down", they ALL belong in GITMO for LIFE! Traitors, seditionists, coup plotters," criminals all. pic.twitter.com/0ikiWjKm7B"";;@ @;;""1258550925272117248"";https://twitter.com/1961Rider/status/1258550925272117248",,,,,
";2020-05-08 02:54;1;2;""So these are the Kenyans on Twitter I have been hearing about kazi ni kutroll watu."";;;;""1258545727640240128"";https://twitter.com/govan_jeff/status/1258545727640240128",,,,,,,,,
";2020-05-07 22:43;0;2;""yall missed out on the best phase of Twitter then https://twitter.com/_leekors/status/1258449331834716161 …"";;;;""1258482545282424832"";https://twitter.com/KenyanWarrior_/status/1258482545282424832",,,,,,,,,
";2020-05-07 20:56;0;0;""Time is a persons measure of his/her life' s accountability on earth."";;;;""1258455737082224640"";https://twitter.com/sirlimthomas/status/1258455737082224640",,,,,,,,,
";2020-05-07 19:43;0;0;""...it's well spent on twitter"";;;;""1258437342190342145"";https://twitter.com/_chuchuma/status/1258437342190342145",,,,,,,,,
";2020-05-07 19:01;0;3;""You are quickly becoming my favorite Kenyan on Twitter."";;;;""1258426635596038144"";https://twitter.com/Arnilie/status/1258426635596038144",,,,,,,,,
";2020-05-07 17:55;2;3;""Lmao reason I wouldn't bother conversing with Kenyan artists on Twitter. So full of themselves and labeling everyone as a hater. Sasa Ata kuulizia ngoma becomes an issue. LMAO Fucktards"";;;;""1258410175171616768"";https://twitter.com/AliQuqiiz/status/1258410175171616768",,,,,,,,,
";2020-05-07 16:47;0;0;""Kenyans on twitter are just amazing"";;;;""1258393041511108608"";https://twitter.com/ayub_kibunja/status/1258393041511108608",,,,,,,,,
";2020-05-07 16:24;2;22;""Had no idea one having lots of followers & some sort of influence in this app can trigger chaos "," disorder & jelousy seeing Kenyan influencers on twitter on each other’s case & neck. You people even have cliques job seems to be as dirty as politics"";;;;""1258387307352260609"";https://twitter.com/RonaldOkoth__/status/1258387307352260609",,,,,,,,
";2020-05-07 15:37;0;0;""Who is complaining? parents or Kenyans on Twitter."";;;;""1258375440781148162"";https://twitter.com/elijah_gatobu/status/1258375440781148162",,,,,,,,,
";2020-05-07 15:17;0;0;""[TECH] Facebook SDK Bug Crashes Major iOS Apps including Spotify"," TikTok and Tinder: Last night several iOS users took it on Twitter complaining about app crashes. The most affected apps were major apps whic.. https://techtrendske.co.ke/facebook-bug-crashes-major-ios-apps/ … via @ TechTrendsKe"";;@;;""1258370368026411010"";https://twitter.com/Blogs_Kenya/status/1258370368026411010",,,,,,,,
";2020-05-07 15:03;0;0;""We love his PR in Machakos. What is your Governor doing? Or you are suffering from an acute case of jealous and hate like the typical Kenyan on Twitter. Idiot!! pic.twitter.com/3S1n72FFjk"";;;;""1258366883205611522"";https://twitter.com/KRG365/status/1258366883205611522",,,,,,,,,
";2020-05-07 15:00;0;0;""My Goodness", that's 77.5B to a certain family that we then have to pay as kenyans. Why do these idiots not listen to what we say on Twitter! We dont need loans," we dont want them!!!"";;;;""1258366056822902786"";https://twitter.com/GaitRash/status/1258366056822902786",,,,,,,
";2020-05-07 14:59;0;1;""Crazy how all Kenyan men believe this. They read my views on Twitter"," my blogs etc then meet me and expect me to be so different."";;;;""1258365743068057600"";https://twitter.com/LDommie/status/1258365743068057600",,,,,,,,
";2020-05-07 14:31;0;0;""Kenyan men on Twitter making everything about sex"";;;;""1258358772013191175"";https://twitter.com/cynth_mb/status/1258358772013191175",,,,,,,,,
";2020-05-07 13:14;0;1;""Being progressive under Kenyan standards means arguing on Twitter but doing the opposite in real life. Uko tu sawa."";;;;""1258339519960690692"";https://twitter.com/Tony_KeyMoney/status/1258339519960690692",,,,,,,,,
";2020-05-07 12:48;0;0;""You wouldn’t be on Twitter if you had something important to do"";;;;""1258332933594677250"";https://twitter.com/KenyanHustler/status/1258332933594677250",,,,,,,,,
";2020-05-07 11:13;1;0;""kenyans seem more concerned with mossad and bahati .i tell you our social consciousness is zero. issues that matter", kenyans killed, beaten by police are irelevant floods killing 200, demolitions, lacking food and having to appeal for donations on twitter," name it. mimi hushangaa"";;;;""1258308922697551872"";https://twitter.com/kamsamaki/status/1258308922697551872",,,,
";2020-05-07 10:03;1;3;""This was the first kenyan on twitter pic.twitter.com/PAwTc7AQkx"";;;;""1258291236324114432"";https://twitter.com/iam_kamau/status/1258291236324114432",,,,,,,,,
";2020-05-07 08:18;0;4;""Kenyans are very aggressive on twitter but passive in real life. We'll talk of a revolution in the making but that's just for a day"";;;;""1258264829598617601"";https://twitter.com/itsmaiyoKE/status/1258264829598617601",,,,,,,,,
";2020-05-07 07:00;13;89;""Good morning Kenyans on Twitter?... Tujijenge na hio hour tukisonga!.. Teketeke!"";;;;""1258245350722330625"";https://twitter.com/Adyeewillie/status/1258245350722330625",,,,,,,,,
";2020-05-07 04:52;0;0;""Can Twitter DCI-KOT division do their thing? Kenyan suspects are routinely exposed on this platform; let's maintain the same energy especially when we're talking about PEDOPHILIA. https://twitter.com/DCI_Kenya/status/1258098277242810369 …"";;;;""1258213027486355457"";https://twitter.com/MaggietheMezzo/status/1258213027486355457",,,,,,,,,
";2020-05-07 01:42;0;0;""Anti Somalia is anyone who opposes anything done by farmajo", av seen it being used on the opposition," journalists and now me. You are right though water and sewer system should be the top priority for me and other Kenyans in Twitter"";;;;""1258165391064469512"";https://twitter.com/ziziaboo/status/1258165391064469512",,,,,,,
";2020-05-07 01:09;0;5;""I'm surprised there are Kenyans on twitter... Indeed learning never ends."";;;;""1258156967408758784"";https://twitter.com/PweetySoty/status/1258156967408758784",,,,,,,,,
";2020-05-06 23:31;3;11;""Robert Alai husema he got his lenses on every Kenyan politician but hadi wa leo hajawahi jua nani humkulia bibi. Na wanaishi pamoja Nyayo Estate na pia ako too hii twitter. Omera?"";;;;""1258132361100890115"";https://twitter.com/kuria_mapesa/status/1258132361100890115",,,,,,,,,
";2020-05-06 23:15;0;1;""Kenyan's are peculiar species...I have a bunch of friends whose lives revolve around Eastleigh. The sleep",work,eat," shop and party in Eastleigh but I have since them protesting the sesation loudly on Twitter while in their usual miraa bases in Eastleigh . Strange is it ?"";;;;""1258128376893710339"";https://twitter.com/Martinkarau3/status/1258128376893710339",,,,,,
";2020-05-06 22:11;0;11;""There are Kenyans on twitter? Wow. I guess we learn something new everyday"";;;;""1258112195201769476"";https://twitter.com/DawnOfSadioV2/status/1258112195201769476",,,,,,,,,
";2020-05-06 22:03;0;0;""What Kenyans On Twitter Are Saying About Anerlisa Muigai’s Sister https://techmoran.com/2020/05/06/what-kenyans-twitter-anerlisa-muigais-sister/ …"";;;;""1258110183852707841"";https://twitter.com/TechMoran/status/1258110183852707841",,,,,,,,,
";2020-05-06 22:03;0;0;""What Kenyans On Twitter Are Saying About Anerlisa Muigai’s Sister https://techmoran.com/2020/05/06/what-kenyans-twitter-anerlisa-muigais-sister/ …"";;;;""1258110179138306054"";https://twitter.com/SamWakoba/status/1258110179138306054",,,,,,,,,
";2020-05-06 22:03;0;0;""What Kenyans On Twitter Are Saying About Anerlisa Muigai’s Sister https://techmoran.com/2020/05/06/what-kenyans-twitter-anerlisa-muigais-sister/ …"";;;;""1258110172389683200"";https://twitter.com/IfeanyiAbraham/status/1258110172389683200",,,,,,,,,
";2020-05-06 21:36;0;0;""Please get him on twitter"";;;;""1258103243462324226"";https://twitter.com/BillA380/status/1258103243462324226",,,,,,,,,
";2020-05-06 20:33;1;6;""Kenyans on Twitter never disappoint"";;;;""1258087582854000641"";https://twitter.com/jdrizzy254/status/1258087582854000641",,,,,,,,,
";2020-05-06 20:28;0;1;""Meanwhile in Kenya: On Twitter: These Chinese"," who do they think they're. Kenyans sleeping on the floor bla bla bla bla bla . On The Ground: NOTHING. https://twitter.com/citizentvkenya/status/1257979452027478017 …"";;;;""1258086137274515459"";https://twitter.com/MichaelMburu_/status/1258086137274515459",,,,,,,,
